Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Dick McGuire*,1950,1960,G,6-0,180.0,"January 25, 1926",St. John's,https://www.basketball-reference.com/players/m/mcguidi01.html
Dominic McGuire,2008,2013,F,6-9,220.0,"October 20, 1985","California, Fresno State",https://www.basketball-reference.com/players/m/mcguido01.html
Kevin McHale*,1981,1993,F-C,6-10,210.0,"December 19, 1957",Minnesota,https://www.basketball-reference.com/players/m/mchalke01.html
Maurice McHartley,1968,1970,G-F,6-3,185.0,"August 1, 1942",North Carolina A&T,https://www.basketball-reference.com/players/m/mcharma01.html
Jim McIlvaine,1995,2001,C,7-1,240.0,"July 30, 1972",Marquette,https://www.basketball-reference.com/players/m/mcilvji01.html
Jeff McInnis,1997,2008,G,6-4,190.0,"October 22, 1974",UNC,https://www.basketball-reference.com/players/m/mcinnje01.html
Kenny McIntosh,1972,1975,F,6-7,225.0,"January 21, 1949",Eastern Michigan,https://www.basketball-reference.com/players/m/mcintke01.html
Bob McIntyre,1968,1970,F,6-6,215.0,"January 23, 1944",St. John's,https://www.basketball-reference.com/players/m/mcintbo01.html
Jerry McKee,1970,1970,G,6-3,190.0,"August 4, 1946",Ohio University,https://www.basketball-reference.com/players/m/mckeeje01.html
Kevin McKenna,1982,1988,G-F,6-5,195.0,"January 8, 1959",Creighton,https://www.basketball-reference.com/players/m/mckenke01.html
Forrest McKenzie,1987,1987,F,6-7,200.0,"February 16, 1963",Loyola Marymount,https://www.basketball-reference.com/players/m/mckenfo01.html
Stan McKenzie,1968,1974,F-G,6-5,195.0,"October 6, 1944",NYU,https://www.basketball-reference.com/players/m/mckenst01.html
Derrick McKey,1988,2002,F-C,6-9,205.0,"October 10, 1966",Alabama,https://www.basketball-reference.com/players/m/mckeyde01.html
Aaron McKie,1995,2007,G-F,6-5,209.0,"October 2, 1972",Temple,https://www.basketball-reference.com/players/m/mckieaa01.html
Billy McKinney,1979,1986,G,6-0,160.0,"June 5, 1955",Northwestern,https://www.basketball-reference.com/players/m/mckinbi01.html
Bones McKinney,1947,1952,F-C,6-6,185.0,"January 1, 1919",UNC,https://www.basketball-reference.com/players/m/mckinbo01.html
Carlton McKinney,1990,1992,G,6-4,190.0,"October 21, 1964","Tulsa, SMU",https://www.basketball-reference.com/players/m/mckinca01.html
Trey McKinney-Jones,2018,2018,G,6-5,214.0,"August 27, 1990","Missouri-Kansas City, Miami (FL)",https://www.basketball-reference.com/players/m/mckintr01.html
Alfonzo McKinnie,2018,2022,F,6-7,215.0,"September 17, 1992",Green Bay,https://www.basketball-reference.com/players/m/mckinal01.html
JaQuori McLaughlin,2022,2022,G,6-4,190.0,"January 29, 1998","Oregon State, UC Santa Barbara",https://www.basketball-reference.com/players/m/mclauja01.html
Jordan McLaughlin,2020,2023,G,5-11,185.0,"April 9, 1996",USC,https://www.basketball-reference.com/players/m/mclaujo01.html
Ben McLemore,2014,2022,G,6-3,195.0,"February 11, 1993",Kansas,https://www.basketball-reference.com/players/m/mclembe01.html
McCoy McLemore,1965,1972,F-C,6-7,230.0,"April 3, 1942",Drake University,https://www.basketball-reference.com/players/m/mclemmc01.html
George McLeod,1953,1953,F,6-5,200.0,"January 3, 1931",TCU,https://www.basketball-reference.com/players/m/mcleoge01.html
Keith McLeod,2004,2007,G,6-2,188.0,"November 5, 1979",Bowling Green,https://www.basketball-reference.com/players/m/mcleoke01.html
Roshown McLeod,1999,2001,F,6-8,221.0,"November 17, 1975","St. John's, Duke",https://www.basketball-reference.com/players/m/mcleoro01.html
Jack McMahon,1953,1960,G,6-1,185.0,"December 3, 1928",St. John's,https://www.basketball-reference.com/players/m/mcmahja01.html
Nate McMillan,1987,1998,G-F,6-5,195.0,"August 3, 1964",NC State,https://www.basketball-reference.com/players/m/mcmilna01.html
Tom McMillen,1976,1986,F-C,6-11,215.0,"May 26, 1952",Maryland,https://www.basketball-reference.com/players/m/mcmilto01.html
Jim McMillian,1971,1979,F,6-5,215.0,"March 11, 1948",Columbia University,https://www.basketball-reference.com/players/m/mcmilji01.html
Shellie McMillon,1959,1962,F,6-5,205.0,"March 11, 1936",Bradley,https://www.basketball-reference.com/players/m/mcmilsh01.html
Mal McMullen,1950,1951,F-C,6-5,210.0,"August 23, 1927",Xavier,https://www.basketball-reference.com/players/m/mcmulma01.html
Chet McNabb,1948,1948,F,6-2,200.0,"September 19, 1920",Arizona State,https://www.basketball-reference.com/players/m/mcnabch01.html
Mark McNamara,1983,1991,C-F,6-11,235.0,"June 8, 1959","Santa Clara, California",https://www.basketball-reference.com/players/m/mcnamma01.html
Joe McNamee,1951,1952,F-C,6-6,210.0,"September 24, 1926",San Francisco,https://www.basketball-reference.com/players/m/mcnamjo01.html
Jerel McNeal,2015,2015,G,6-3,200.0,"June 1, 1987",Marquette,https://www.basketball-reference.com/players/m/mcneaje01.html
Chris McNealy,1986,1988,F,6-7,210.0,"July 15, 1961",San Jose State,https://www.basketball-reference.com/players/m/mcneach01.html
Bob McNeill,1961,1962,G,6-1,170.0,"October 22, 1938",Saint Joseph's,https://www.basketball-reference.com/players/m/mcneibo01.html
Larry McNeill,1974,1979,F-C,6-9,195.0,"January 31, 1951",Marquette,https://www.basketball-reference.com/players/m/mcneila01.html
Carl McNulty,1955,1955,G,6-3,185.0,"February 14, 1930",Purdue,https://www.basketball-reference.com/players/m/mcnulca01.html
Paul McPherson,2001,2001,G,6-4,210.0,"July 3, 1978",DePaul,https://www.basketball-reference.com/players/m/mcphepa01.html
Roy McPipe,1975,1975,G,6-3,205.0,"May 5, 1950","Montana State University, Billings",https://www.basketball-reference.com/players/m/mcpipro01.html
Cozell McQueen,1987,1987,F,6-11,235.0,"January 18, 1962",NC State,https://www.basketball-reference.com/players/m/mcqueco01.html
Jordan McRae,2016,2020,G,6-5,179.0,"March 28, 1991",Tennessee,https://www.basketball-reference.com/players/m/mcraejo01.html
Thales McReynolds,1966,1966,G,6-3,185.0,"June 8, 1943",Miles College,https://www.basketball-reference.com/players/m/mcreyth01.html
Josh McRoberts,2008,2018,F-C,6-10,240.0,"February 28, 1987",Duke,https://www.basketball-reference.com/players/m/mcrobjo01.html
Eric McWilliams,1973,1973,F,6-8,200.0,"April 18, 1950",Cal State Long Beach,https://www.basketball-reference.com/players/m/mcwiler01.html
George Mearns,1947,1948,F,6-3,175.0,"April 18, 1922",Rhode Island,https://www.basketball-reference.com/players/m/mearnge01.html
Stanislav Medvedenko,2001,2007,F,6-10,250.0,"April 4, 1979",,https://www.basketball-reference.com/players/m/medvest01.html
Darnell Mee,1994,1995,G,6-5,175.0,"February 11, 1971",Western Kentucky,https://www.basketball-reference.com/players/m/meeda01.html
Jodie Meeks,2010,2019,G,6-4,210.0,"August 21, 1987",Kentucky,https://www.basketball-reference.com/players/m/meeksjo01.html
Cliff Meely,1972,1976,F-C,6-8,215.0,"July 10, 1947",Colorado,https://www.basketball-reference.com/players/m/meelycl01.html
Scott Meents,1990,1991,F,6-10,225.0,"January 4, 1964",Illinois,https://www.basketball-reference.com/players/m/meentsc01.html
Dick Mehen,1950,1952,F-C,6-5,195.0,"May 20, 1922",Tennessee,https://www.basketball-reference.com/players/m/mehendi01.html
Monk Meineke,1953,1958,F-C,6-7,208.0,"October 30, 1930",Dayton,https://www.basketball-reference.com/players/m/meinemo01.html
Carl Meinhold,1948,1949,G-F,6-2,185.0,"March 29, 1926",Long Island University,https://www.basketball-reference.com/players/m/meinhca01.html
Salah Mejri,2016,2019,C,7-2,235.0,"June 15, 1986",,https://www.basketball-reference.com/players/m/mejrisa01.html
Gal Mekel,2014,2015,G,6-3,191.0,"March 4, 1988",Wichita State,https://www.basketball-reference.com/players/m/mekelga01.html
Bill Melchionni,1967,1976,G,6-1,165.0,"October 19, 1944",Villanova,https://www.basketball-reference.com/players/m/melchbi01.html
Gary Melchionni,1974,1975,G,6-2,185.0,"January 19, 1951",Duke,https://www.basketball-reference.com/players/m/melchga01.html
Nicolò Melli,2020,2021,F,6-9,236.0,"January 26, 1991",,https://www.basketball-reference.com/players/m/mellini01.html
Fab Melo,2013,2013,C,7-0,255.0,"June 20, 1990",Syracuse,https://www.basketball-reference.com/players/m/melofa01.html
De'Anthony Melton,2019,2023,G,6-2,200.0,"May 28, 1998",USC,https://www.basketball-reference.com/players/m/meltode01.html
Ed Melvin,1947,1947,G,5-9,170.0,"February 13, 1916",Duquesne,https://www.basketball-reference.com/players/m/melvied01.html
Dean Meminger,1972,1977,G,6-0,175.0,"May 13, 1948",Marquette,https://www.basketball-reference.com/players/m/meminde01.html
Chuck Mencel,1956,1957,G,6-0,168.0,"April 21, 1933",Minnesota,https://www.basketball-reference.com/players/m/mencech01.html
John Mengelt,1972,1981,G,6-2,195.0,"October 16, 1949",Auburn,https://www.basketball-reference.com/players/m/mengejo01.html
Ken Menke,1950,1950,G,6-0,168.0,"October 2, 1922",Illinois,https://www.basketball-reference.com/players/m/menkeke01.html
Pops Mensah-Bonsu,2007,2011,F,6-9,240.0,"September 7, 1983",George Washington,https://www.basketball-reference.com/players/m/mensapo01.html
Dewitt Menyard,1968,1968,C,6-10,210.0,"May 24, 1944","Allan Hancock College, Utah",https://www.basketball-reference.com/players/m/menyade01.html
Ron Mercer,1998,2005,G-F,6-7,210.0,"May 18, 1976",Kentucky,https://www.basketball-reference.com/players/m/mercero01.html
Joe Meriweather,1976,1985,C-F,6-10,215.0,"October 26, 1953",Southern Illinois,https://www.basketball-reference.com/players/m/meriwjo01.html
Porter Meriwether,1963,1963,G,6-2,180.0,"March 16, 1940",Tennessee State,https://www.basketball-reference.com/players/m/meriwpo01.html
Sam Merrill,2021,2023,G,6-4,205.0,"May 15, 1996",Utah State University,https://www.basketball-reference.com/players/m/merrisa01.html
Tom Meschery,1962,1971,F,6-6,215.0,"October 26, 1938",Saint Mary's,https://www.basketball-reference.com/players/m/meschto01.html
Chimezie Metu,2019,2023,F-C,6-9,225.0,"March 22, 1997",USC,https://www.basketball-reference.com/players/m/metuch01.html
Bill Meyer,1968,1968,G,6-3,195.0,"August 30, 1943",Hiram College,https://www.basketball-reference.com/players/m/meyerbi01.html
Loren Meyer,1996,1999,C,6-10,257.0,"December 30, 1972",Iowa State,https://www.basketball-reference.com/players/m/meyerlo01.html
Dave Meyers,1976,1980,F-C,6-8,215.0,"April 21, 1953",UCLA,https://www.basketball-reference.com/players/m/meyerda01.html
Stan Miasek,1947,1953,C-F,6-5,210.0,"September 19, 1923",,https://www.basketball-reference.com/players/m/miasest01.html
Larry Micheaux,1984,1985,F,6-9,220.0,"March 24, 1960",Houston,https://www.basketball-reference.com/players/m/michela01.html
Jordan Mickey,2016,2018,F,6-8,235.0,"July 9, 1994",LSU,https://www.basketball-reference.com/players/m/mickejo01.html
Khris Middleton,2013,2023,F-G,6-7,222.0,"August 12, 1991",Texas A&M,https://www.basketball-reference.com/players/m/middlkh01.html
Red Mihalik,1947,1947,G,6-0,180.0,"September 22, 1916",,https://www.basketball-reference.com/players/m/mihalre01.html
Chris Mihm,2001,2009,C-F,7-0,265.0,"July 16, 1979",Texas,https://www.basketball-reference.com/players/m/mihmch01.html
Eric Mika,2020,2020,C,6-10,230.0,"January 5, 1995",BYU,https://www.basketball-reference.com/players/m/mikaer01.html
Ed Mikan,1949,1954,C-F,6-8,230.0,"October 20, 1925",DePaul,https://www.basketball-reference.com/players/m/mikaned01.html
George Mikan*,1949,1956,C,6-10,245.0,"June 18, 1924",DePaul,https://www.basketball-reference.com/players/m/mikange01.html
Larry Mikan,1971,1971,F,6-7,210.0,"April 8, 1948",Minnesota,https://www.basketball-reference.com/players/m/mikanla01.html
Vern Mikkelsen*,1950,1959,F-C,6-7,230.0,"October 21, 1928",Hamline University,https://www.basketball-reference.com/players/m/mikkeve01.html
Al Miksis,1950,1950,C,6-7,210.0,"February 2, 1928",Western Illinois University,https://www.basketball-reference.com/players/m/miksial01.html
Aaron Miles,2006,2006,G,6-1,175.0,"April 13, 1983",Kansas,https://www.basketball-reference.com/players/m/milesaa01.html
C.J. Miles,2006,2022,G-F,6-6,220.0,"March 18, 1987",,https://www.basketball-reference.com/players/m/milescj01.html
Darius Miles,2001,2009,F,6-9,210.0,"October 9, 1981",,https://www.basketball-reference.com/players/m/milesda01.html
Eddie Miles,1964,1972,G-F,6-4,195.0,"July 5, 1940",Seattle University,https://www.basketball-reference.com/players/m/milesed01.html
Marko Milič,1998,1999,G-F,6-6,235.0,"May 7, 1977",,https://www.basketball-reference.com/players/m/milicma01.html
Darko Miličić,2004,2013,F-C,7-0,250.0,"June 20, 1985",,https://www.basketball-reference.com/players/m/milicda01.html
Nat Militzok,1947,1947,F,6-3,195.0,"May 3, 1923",Cornell,https://www.basketball-reference.com/players/m/militna01.html
Andre Miller,2000,2016,G,6-3,200.0,"March 19, 1976",Utah,https://www.basketball-reference.com/players/m/millean02.html
Anthony Miller,1995,2005,F,6-9,225.0,"October 22, 1971",Michigan State,https://www.basketball-reference.com/players/m/millean01.html
Bill Miller,1949,1949,F,6-3,190.0,"November 24, 1924",UNC,https://www.basketball-reference.com/players/m/millebi01.html
Bob Miller,1984,1984,F,6-10,230.0,"July 9, 1956",Cincinnati,https://www.basketball-reference.com/players/m/millebo01.html
Brad Miller,1999,2012,C-F,6-11,244.0,"April 12, 1976",Purdue,https://www.basketball-reference.com/players/m/millebr01.html
Darius Miller,2013,2021,F,6-6,225.0,"March 21, 1990",Kentucky,https://www.basketball-reference.com/players/m/milleda01.html
Dick Miller,1981,1981,F,6-6,215.0,"April 26, 1958",Toledo,https://www.basketball-reference.com/players/m/milledi01.html
Eddie Miller,1953,1954,C-F,6-8,225.0,"June 18, 1931",Syracuse,https://www.basketball-reference.com/players/m/milleed01.html
Harry Miller,1947,1947,C-F,6-4,230.0,"July 28, 1923",UNC,https://www.basketball-reference.com/players/m/milleha01.html
Jay Miller,1968,1971,F,6-5,205.0,"July 19, 1943",Notre Dame,https://www.basketball-reference.com/players/m/milleja01.html
Larry Miller,1969,1975,G-F,6-4,190.0,"April 4, 1946",UNC,https://www.basketball-reference.com/players/m/millela01.html
Malcolm Miller,2018,2020,F,6-7,210.0,"March 6, 1993",Holy Cross,https://www.basketball-reference.com/players/m/millema01.html
Mike Miller,2001,2017,F-G,6-8,218.0,"February 19, 1980",Florida,https://www.basketball-reference.com/players/m/millemi01.html
Oliver Miller,1993,2004,C,6-9,280.0,"April 6, 1970",Arkansas,https://www.basketball-reference.com/players/m/milleol01.html
Quincy Miller,2013,2015,F,6-9,210.0,"November 18, 1992",Baylor,https://www.basketball-reference.com/players/m/millequ01.html
Reggie Miller*,1988,2005,G-F,6-7,185.0,"August 24, 1965",UCLA,https://www.basketball-reference.com/players/m/millere01.html
Walt Miller,1947,1947,F,6-2,190.0,"July 20, 1915",Duquesne,https://www.basketball-reference.com/players/m/millewa01.html
Chris Mills,1994,2003,F,6-6,215.0,"January 25, 1970","Kentucky, Arizona",https://www.basketball-reference.com/players/m/millsch01.html
John Mills,1947,1947,C-F,6-8,203.0,"September 7, 1919",Western Kentucky,https://www.basketball-reference.com/players/m/millsjo01.html
Patty Mills,2010,2023,G,6-1,180.0,"August 11, 1988",Saint Mary's,https://www.basketball-reference.com/players/m/millspa02.html
Terry Mills,1991,2001,F,6-10,230.0,"December 21, 1967",Michigan,https://www.basketball-reference.com/players/m/millste01.html
Elijah Millsap,2015,2017,G-F,6-6,225.0,"August 12, 1987","Louisiana, UAB",https://www.basketball-reference.com/players/m/millsel01.html
Paul Millsap,2007,2022,F,6-7,257.0,"February 10, 1985",Louisiana Tech,https://www.basketball-reference.com/players/m/millspa01.html
Shake Milton,2019,2023,G,6-5,205.0,"September 26, 1996",SMU,https://www.basketball-reference.com/players/m/miltosh01.html
Harold Miner,1993,1996,G,6-5,210.0,"May 5, 1971",USC,https://www.basketball-reference.com/players/m/minerha01.html
Yao Ming*,2003,2011,C,7-6,310.0,"September 12, 1980",,https://www.basketball-reference.com/players/m/mingya01.html
Dirk Minniefield,1986,1988,G,6-3,180.0,"January 17, 1961",Kentucky,https://www.basketball-reference.com/players/m/minnidi01.html
Dave Minor,1952,1953,G-F,6-2,185.0,"February 23, 1922","Toledo, UCLA",https://www.basketball-reference.com/players/m/minorda01.html
Greg Minor,1995,1999,G-F,6-6,210.0,"September 18, 1971",Louisville,https://www.basketball-reference.com/players/m/minorgr01.html
Mark Minor,1973,1973,F,6-6,215.0,"May 14, 1950",Ohio State,https://www.basketball-reference.com/players/m/minorma01.html
Josh Minott,2023,2023,F,6-8,205.0,"November 25, 2002",Memphis,https://www.basketball-reference.com/players/m/minotjo01.html
Nikola Mirotić,2015,2019,F,6-10,250.0,"February 11, 1991",,https://www.basketball-reference.com/players/m/mirotni01.html
Wat Misaka,1948,1948,G,5-7,150.0,"December 21, 1923","Weber State, Utah",https://www.basketball-reference.com/players/m/misakwa01.html
Jason Miskiri,2000,2000,G,6-2,175.0,"August 19, 1975",George Mason,https://www.basketball-reference.com/players/m/miskija01.html
Davion Mitchell,2022,2023,G,6-2,205.0,"September 5, 1998","Auburn, Baylor",https://www.basketball-reference.com/players/m/mitchda01.html
Donovan Mitchell,2018,2023,G,6-1,215.0,"September 7, 1996",Louisville,https://www.basketball-reference.com/players/m/mitchdo01.html
Leland Mitchell,1968,1968,G,6-4,210.0,"February 22, 1941","Pearl River Community College, Mississippi State",https://www.basketball-reference.com/players/m/mitchle01.html
Mike Mitchell,1979,1988,F,6-7,215.0,"January 1, 1956",Auburn,https://www.basketball-reference.com/players/m/mitchmi01.html
Murray Mitchell,1950,1950,C,6-6,,"March 19, 1923",Sam Houston State University,https://www.basketball-reference.com/players/m/mitchmu01.html
Sam Mitchell,1990,2002,F,6-6,210.0,"September 2, 1963",Mercer University,https://www.basketball-reference.com/players/m/mitchsa01.html
Todd Mitchell,1989,1989,F,6-7,205.0,"July 26, 1966",Purdue,https://www.basketball-reference.com/players/m/mitchto01.html
Tony Mitchell,2014,2014,F,6-6,216.0,"August 7, 1989",Alabama,https://www.basketball-reference.com/players/m/mitchto03.html
Tony Mitchell,2014,2014,F,6-8,235.0,"April 7, 1992",University of North Texas,https://www.basketball-reference.com/players/m/mitchto02.html
Naz Mitrou-Long,2018,2020,G,6-3,218.0,"August 3, 1993",Iowa State,https://www.basketball-reference.com/players/m/mitrona01.html
Steve Mix,1970,1983,F,6-7,215.0,"December 30, 1947",Toledo,https://www.basketball-reference.com/players/m/mixst01.html
Bill Mlkvy,1953,1953,F,6-4,190.0,"January 19, 1931",Temple,https://www.basketball-reference.com/players/m/mlkvybi01.html
Cuttino Mobley,1999,2009,G,6-4,190.0,"September 1, 1975",Rhode Island,https://www.basketball-reference.com/players/m/moblecu01.html
Eric Mobley,1995,1997,C,6-11,235.0,"February 1, 1970",Pitt,https://www.basketball-reference.com/players/m/mobleer01.html
Evan Mobley,2022,2023,F-C,7-0,215.0,"June 18, 2001",USC,https://www.basketball-reference.com/players/m/mobleev01.html
Isaiah Mobley,2023,2023,F,6-10,240.0,"September 24, 1999",USC,https://www.basketball-reference.com/players/m/mobleis01.html
Doug Moe,1968,1972,F-G,6-5,215.0,"September 21, 1938",UNC,https://www.basketball-reference.com/players/m/moedo01.html
Larry Moffett,1978,1978,F,6-8,210.0,"November 5, 1954",UNLV,https://www.basketball-reference.com/players/m/moffela01.html
Leo Mogus,1947,1951,F-C,6-4,190.0,"April 13, 1921",Youngstown State University,https://www.basketball-reference.com/players/m/mogusle01.html
Nazr Mohammed,1999,2016,C,6-10,221.0,"September 5, 1977",Kentucky,https://www.basketball-reference.com/players/m/mohamna01.html
Jérôme Moïso,2001,2005,F-C,6-10,235.0,"June 15, 1978",UCLA,https://www.basketball-reference.com/players/m/moisoje01.html
Paul Mokeski,1980,1991,C-F,7-0,250.0,"January 3, 1957",Kansas,https://www.basketball-reference.com/players/m/mokespa01.html
Adam Mokoka,2020,2021,G,6-4,190.0,"July 18, 1998",,https://www.basketball-reference.com/players/m/mokokad01.html
Jack Molinas,1954,1954,F,6-6,200.0,"October 31, 1931",Columbia University,https://www.basketball-reference.com/players/m/molinja01.html
Wayne Molis,1967,1968,F,6-8,230.0,"April 17, 1943","Chicago State, Lewis (IL)",https://www.basketball-reference.com/players/m/moliswa01.html
Sidney Moncrief*,1980,1991,G,6-4,180.0,"September 21, 1957",Arkansas,https://www.basketball-reference.com/players/m/moncrsi01.html
Chima Moneke,2023,2023,F,6-6,222.0,"December 24, 1995","Northeast Community College, UC-Davis",https://www.basketball-reference.com/players/m/monekch01.html
Eric Money,1975,1980,G,6-0,170.0,"February 6, 1955",Arizona,https://www.basketball-reference.com/players/m/moneyer01.html
Sergei Monia,2006,2006,F,6-8,220.0,"April 15, 1983",,https://www.basketball-reference.com/players/m/moniase01.html
Malik Monk,2018,2023,G,6-3,200.0,"February 4, 1998",Kentucky,https://www.basketball-reference.com/players/m/monkma01.html
Earl Monroe*,1968,1980,G,6-3,185.0,"November 21, 1944",Winston-Salem State,https://www.basketball-reference.com/players/m/monroea01.html
Greg Monroe,2011,2022,C-F,6-11,265.0,"June 4, 1990",Georgetown,https://www.basketball-reference.com/players/m/monrogr01.html
Rodney Monroe,1992,1992,G,6-3,185.0,"April 16, 1968",NC State,https://www.basketball-reference.com/players/m/monroro01.html
Luis Montero,2016,2018,G,6-7,185.0,"April 6, 1993",Westchester CC,https://www.basketball-reference.com/players/m/montelu01.html
Howie Montgomery,1963,1963,F,6-5,220.0,"August 22, 1940",University of Texas Rio Grande Valley,https://www.basketball-reference.com/players/m/montgho01.html
Eric Montross,1995,2002,C,7-0,270.0,"September 23, 1971",UNC,https://www.basketball-reference.com/players/m/montrer01.html
Moses Moody,2022,2023,G,6-6,205.0,"May 31, 2002",Arkansas,https://www.basketball-reference.com/players/m/moodymo01.html
Jamario Moon,2008,2012,F,6-8,205.0,"June 13, 1980",Meridian Community College,https://www.basketball-reference.com/players/m/moonja01.html
Xavier Moon,2022,2023,G,6-2,165.0,"January 2, 1995","Northwest Florida State College, Morehead State University",https://www.basketball-reference.com/players/m/moonxa01.html
Jim Mooney,1953,1953,F,6-5,215.0,"July 8, 1930",Villanova,https://www.basketball-reference.com/players/m/mooneji01.html
Matt Mooney,2020,2022,G,6-3,199.0,"February 7, 1997","Air Force, South Dakota, Texas Tech",https://www.basketball-reference.com/players/m/moonema01.html
Andre Moore,1988,1988,F,6-9,215.0,"July 2, 1964",Loyola Chicago,https://www.basketball-reference.com/players/m/moorean01.html
Ben Moore,2018,2018,F,6-8,220.0,"May 13, 1995",SMU,https://www.basketball-reference.com/players/m/moorebe01.html
E'Twaun Moore,2012,2021,G-F,6-3,191.0,"February 25, 1989",Purdue,https://www.basketball-reference.com/players/m/mooreet01.html
Gene Moore,1969,1975,C-F,6-9,225.0,"July 29, 1945",Saint Louis,https://www.basketball-reference.com/players/m/moorege01.html
Jackie Moore,1955,1957,F,6-5,180.0,"September 24, 1932",La Salle,https://www.basketball-reference.com/players/m/mooreja01.html
Johnny Moore,1981,1990,G,6-1,175.0,"March 3, 1958",Texas,https://www.basketball-reference.com/players/m/moorejo01.html
Larry Moore,1968,1968,F,6-7,215.0,"July 10, 1942",Florida State,https://www.basketball-reference.com/players/m/moorela01.html
Lowes Moore,1981,1983,G,6-1,170.0,"May 5, 1957",West Virginia,https://www.basketball-reference.com/players/m/moorelo01.html
Mikki Moore,1999,2012,C-F,6-11,225.0,"November 4, 1975",Nebraska,https://www.basketball-reference.com/players/m/mooremi01.html
Otto Moore,1969,1977,C-F,6-11,205.0,"August 27, 1946",University of Texas Rio Grande Valley,https://www.basketball-reference.com/players/m/mooreot01.html
Richie Moore,1968,1968,G,6-2,190.0,,"Villanova, Hiram Scott College",https://www.basketball-reference.com/players/m/mooreri01.html
Ron Moore,1988,1988,C,7-0,260.0,"January 16, 1962","Salem University, West Virginia State University",https://www.basketball-reference.com/players/m/moorero01.html
Tracy Moore,1992,1997,G-F,6-4,200.0,"December 28, 1965",Tulsa,https://www.basketball-reference.com/players/m/mooretr01.html
Wendell Moore Jr.,2023,2023,G-F,6-5,213.0,"September 18, 2001",Duke,https://www.basketball-reference.com/players/m/moorewe01.html
Ja Morant,2020,2023,G,6-3,174.0,"August 10, 1999",Murray State,https://www.basketball-reference.com/players/m/moranja01.html
Eric Moreland,2015,2019,F-C,6-10,238.0,"December 24, 1991",Oregon State,https://www.basketball-reference.com/players/m/moreler01.html
Jackie Moreland,1961,1970,F-G,6-7,215.0,"March 11, 1938",Louisiana Tech,https://www.basketball-reference.com/players/m/morelja01.html
Guy Morgan,1983,1983,G,6-8,205.0,"August 23, 1960",Wake Forest,https://www.basketball-reference.com/players/m/morgagu01.html
Juwan Morgan,2020,2022,F,6-7,232.0,"April 17, 1997",Indiana,https://www.basketball-reference.com/players/m/morgaju01.html
Rex Morgan,1971,1972,G,6-5,190.0,"October 27, 1948",Jacksonville University,https://www.basketball-reference.com/players/m/morgare01.html
Elmore Morgenthaler,1947,1949,C,6-9,230.0,"August 3, 1922","New Mexico Tech, Boston College",https://www.basketball-reference.com/players/m/morgeel01.html
Darren Morningstar,1994,1994,C,6-10,235.0,"April 22, 1969","United States Naval Academy, Pitt",https://www.basketball-reference.com/players/m/mornida01.html
Chris Morris,1989,1999,F,6-8,210.0,"January 20, 1966",Auburn,https://www.basketball-reference.com/players/m/morrich01.html
Darius Morris,2012,2015,G,6-4,190.0,"January 3, 1991",Michigan,https://www.basketball-reference.com/players/m/morrida01.html
Isaiah Morris,1993,1993,F,6-8,229.0,"April 2, 1969",Arkansas,https://www.basketball-reference.com/players/m/morriis01.html
Jaylen Morris,2018,2022,G,6-5,185.0,"September 19, 1995",Molloy,https://www.basketball-reference.com/players/m/morrija01.html
Marcus Morris,2012,2023,F,6-8,218.0,"September 2, 1989",Kansas,https://www.basketball-reference.com/players/m/morrima03.html
Markieff Morris,2012,2023,F,6-9,245.0,"September 2, 1989",Kansas,https://www.basketball-reference.com/players/m/morrima02.html
Max Morris,1950,1950,F-C,6-2,195.0,"March 14, 1925",Northwestern,https://www.basketball-reference.com/players/m/morrima01.html
Monte Morris,2018,2023,G,6-2,183.0,"June 27, 1995",Iowa State,https://www.basketball-reference.com/players/m/morrimo01.html
Randolph Morris,2007,2010,C,6-10,266.0,"January 2, 1986",Kentucky,https://www.basketball-reference.com/players/m/morrira01.html
Terence Morris,2002,2006,F,6-9,221.0,"January 11, 1979",Maryland,https://www.basketball-reference.com/players/m/morrite01.html
Adam Morrison,2007,2010,F,6-8,205.0,"July 19, 1984",Gonzaga,https://www.basketball-reference.com/players/m/morriad01.html
John Morrison,1968,1968,G,6-2,190.0,"May 2, 1945",Canisius,https://www.basketball-reference.com/players/m/morrijo01.html
Mike Morrison,1990,1990,G,6-4,195.0,"August 16, 1967",Loyola (MD),https://www.basketball-reference.com/players/m/morrimi01.html
Red Morrison,1955,1958,F-C,6-8,220.0,"April 26, 1932",Idaho,https://www.basketball-reference.com/players/m/morrire01.html
Anthony Morrow,2009,2017,G,6-5,210.0,"September 27, 1985",Georgia Tech,https://www.basketball-reference.com/players/m/morroan01.html
Dwayne Morton,1995,1995,F,6-7,195.0,"August 8, 1971",Louisville,https://www.basketball-reference.com/players/m/mortodw01.html
John Morton,1990,1992,G,6-3,180.0,"May 18, 1967",Seton Hall,https://www.basketball-reference.com/players/m/mortojo01.html
Richard Morton,1989,1989,G,6-3,190.0,"February 2, 1966",Cal State Fullerton,https://www.basketball-reference.com/players/m/mortori01.html
Glenn Mosley,1978,1979,F,6-8,195.0,"December 26, 1955",Seton Hall,https://www.basketball-reference.com/players/m/moslegl01.html
Perry Moss,1986,1987,G,6-2,185.0,"November 11, 1958",Northeastern University,https://www.basketball-reference.com/players/m/mosspe01.html
