Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,player_href
Ron Rowan,1987,1987,G,6-5,200,"April 23, 1962","Notre Dame, St. John's",https://www.basketball-reference.com/players/r/rowanro01.html
Curtis Rowe,1972,1979,F,6-7,225,"July 2, 1949",UCLA,https://www.basketball-reference.com/players/r/rowecu01.html
Jim Rowinski,1989,1990,F-C,6-8,250,"January 4, 1961",Purdue,https://www.basketball-reference.com/players/r/rowinji01.html
Derrick Rowland,1986,1986,G,6-5,195,"June 21, 1959",State University of New York at Potsdam,https://www.basketball-reference.com/players/r/rowlade01.html
Brian Rowsom,1988,1990,F,6-9,220,"October 23, 1965",UNC Wilmington,https://www.basketball-reference.com/players/r/rowsobr01.html
Brandon Roy,2007,2013,G,6-6,215,"July 23, 1984",Washington,https://www.basketball-reference.com/players/r/roybr01.html
Donald Royal,1990,1998,F,6-8,210,"May 22, 1966",Notre Dame,https://www.basketball-reference.com/players/r/royaldo01.html
Reggie Royals,1975,1975,C,6-10,200,"September 18, 1950",Florida State,https://www.basketball-reference.com/players/r/royalre01.html
Bob Royer,1950,1950,G,5-10,155,"October 15, 1927",Indiana State University,https://www.basketball-reference.com/players/r/royerbo01.html
Clifford Rozier,1995,1998,C-F,6-11,245,"October 31, 1972","UNC, Louisville",https://www.basketball-reference.com/players/r/roziecl01.html
Terry Rozier,2016,2023,G,6-1,190,"March 17, 1994",Louisville,https://www.basketball-reference.com/players/r/roziete01.html
Ricky Rubio,2012,2023,G,6-2,190,"October 21, 1990",,https://www.basketball-reference.com/players/r/rubiori01.html
Guy Rucker,2003,2003,F-C,6-11,265,"July 27, 1977",Iowa,https://www.basketball-reference.com/players/r/ruckegu01.html
Delaney Rudd,1990,1993,G,6-2,180,"November 8, 1962",Wake Forest,https://www.basketball-reference.com/players/r/ruddde01.html
John Rudd,1979,1979,F,6-7,230,"August 7, 1955",McNeese State University,https://www.basketball-reference.com/players/r/ruddjo01.html
Damjan Rudež,2015,2017,F,6-10,228,"June 17, 1986",,https://www.basketball-reference.com/players/r/rudezda01.html
John Rudometkin,1963,1965,F,6-6,205,"June 6, 1940",USC,https://www.basketball-reference.com/players/r/rudomjo01.html
Michael Ruffin,2000,2009,F,6-9,246,"January 21, 1977",Tulsa,https://www.basketball-reference.com/players/r/ruffimi01.html
Trevor Ruffin,1995,1996,G,6-1,185,"September 26, 1970",Hawaii,https://www.basketball-reference.com/players/r/ruffitr01.html
Paul Ruffner,1971,1976,C-F,6-10,225,"October 15, 1948","Cerritos College, BYU",https://www.basketball-reference.com/players/r/ruffnpa01.html
Joe Ruklick,1960,1962,F-C,6-9,220,"August 3, 1938",Northwestern,https://www.basketball-reference.com/players/r/ruklijo01.html
Jeff Ruland,1982,1993,C-F,6-10,240,"December 16, 1958",Iona College,https://www.basketball-reference.com/players/r/rulanje01.html
Bob Rule,1968,1975,C-F,6-9,220,"June 29, 1944",Colorado State,https://www.basketball-reference.com/players/r/rulebo01.html
Jerry Rullo,1947,1950,G,5-10,165,"June 23, 1923",Temple,https://www.basketball-reference.com/players/r/rulloje01.html
Stefano Rusconi,1996,1996,C-F,6-9,240,"October 2, 1968",,https://www.basketball-reference.com/players/r/ruscost01.html
Brandon Rush,2009,2017,G-F,6-6,220,"July 7, 1985",Kansas,https://www.basketball-reference.com/players/r/rushbr01.html
Kareem Rush,2003,2010,G,6-6,215,"October 30, 1980",Missouri,https://www.basketball-reference.com/players/r/rushka01.html
Bill Russell*,1957,1969,C,6-10,215,"February 12, 1934",San Francisco,https://www.basketball-reference.com/players/r/russebi01.html
Bryon Russell,1994,2006,F,6-7,225,"December 31, 1970",Cal State Long Beach,https://www.basketball-reference.com/players/r/russebr01.html
Campy Russell,1975,1985,F,6-8,215,"January 12, 1952",Michigan,https://www.basketball-reference.com/players/r/russeca02.html
Cazzie Russell,1967,1978,F-G,6-5,218,"June 7, 1944",Michigan,https://www.basketball-reference.com/players/r/russeca01.html
D'Angelo Russell,2016,2023,G,6-4,193,"February 23, 1996",Ohio State,https://www.basketball-reference.com/players/r/russeda01.html
Frank Russell,1973,1973,G,6-3,180,"April 17, 1949",Detroit Mercy,https://www.basketball-reference.com/players/r/russefr01.html
Pierre Russell,1972,1973,F-G,6-4,190,"December 13, 1949",Kansas,https://www.basketball-reference.com/players/r/russepi01.html
Rubin Russell,1968,1968,G,6-2,180,"November 7, 1944","Labette Community College, University of North Texas",https://www.basketball-reference.com/players/r/russeru01.html
Walker Russell,1983,1988,G,6-5,195,"October 26, 1960","Houston, Western Michigan",https://www.basketball-reference.com/players/r/russewa01.html
Walker Russell,2012,2012,G,6-0,170,"October 6, 1982",Jacksonville State University,https://www.basketball-reference.com/players/r/russewa02.html
Matt Ryan,2022,2023,F,6-7,215,"April 17, 1997","Notre Dame, Vanderbilt, Chattanooga",https://www.basketball-reference.com/players/r/ryanma01.html
